county_code,new_timeperiod,lending_club_available,bankruptcy_per_capita,log_bankruptcy,population_estimation,employed_individuals,monthly_earnings,labor_force,medianhouseholdincome,prosper_available,relative_time_m8andbeyond,relative_time_m7,relative_time_m6,relative_time_m5,relative_time_m4,relative_time_m3,relative_time_m2,relative_time_m1,relative_time_0,relative_time_p1,relative_time_p2,relative_time_p3,relative_time_p4,relative_time_p5,relative_time_p6,relative_time_p7,relative_time_p8andbeyond,cem_strata,cem_weights,nonbusiness_bankruptcy_percapita,business_bankruptcy_percapita,lc_available_internet_score,internet_access_score
16011,8,0,1.3656309,4.1271343,44.667999,12.343,2.72,21.827999,43.262001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.3208561,2.3501763,0,3
16011,9,0,1.1143401,3.9512436,45.766998,12.13,2.362,22.844999,43.570999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.0924902,1.2254902,0,3
16011,10,0,1.4857867,4.2341065,45.766998,12.345,2.5179999,22.844999,43.570999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.4639369,1.2254902,0,3
16011,11,0,1.2017392,4.0253515,45.766998,12.093,2.5420001,22.844999,43.570999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.2017392,0,0,3
16011,12,0,1.1580397,3.9889841,45.766998,12.36,2.684,22.844999,43.570999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.1361898,1.2254902,0,3
16011,13,0,.74054712,3.5553482,45.911999,12.022,2.447,22.836,45.354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.71876633,1.2562814,0,1
16011,14,0,1.1108207,3.9512436,45.911999,12.242,2.5680001,22.836,45.354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.0890399,1.2562814,0,1
16011,15,0,1.3504095,4.1431346,45.911999,12.411,2.743,22.836,45.354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.3068479,2.5125628,0,1
16011,16,0,.71876633,3.5263605,45.911999,12.628,2.7690001,22.836,45.354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.67520475,2.5125628,0,1
16011,17,0,.79080904,3.6109178,45.522999,12.418,2.619,22.767,46.816002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.7688421,1.2755102,0,3
16011,18,0,1.0104783,3.8501475,45.522999,12.629,2.6619999,22.767,46.816002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.0104783,0,0,3
16011,19,0,.81277597,3.6375861,45.522999,12.32,2.6949999,22.767,46.816002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.74687523,3.8265307,0,3
16011,20,0,.79080904,3.6109178,45.522999,12.517,2.9189999,22.767,46.816002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.7688421,1.2755102,0,3
16011,21,0,.83693069,3.6635616,45.403999,12.161,2.698,22.33,47.721001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.81490618,1.2210013,0,1
16011,22,0,.79288167,3.6109178,45.403999,12.346,2.7279999,22.33,47.721001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.79288167,0,0,1
16011,23,0,.72680819,3.5263605,45.403999,12.379,2.783,22.33,47.721001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.70478374,1.2210013,0,1
16011,24,0,.66073471,3.4339871,45.403999,12.649,2.9549999,22.33,47.721001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.63871026,1.2210013,0,1
16011,25,0,.46456066,3.0910425,45.203999,12.02,2.6830001,22.108,47.292,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.42031679,2.4009604,0,3
16011,26,0,1.0839748,3.9120231,45.203999,12.062,2.6830001,22.108,47.292,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,1.0618529,1.2004802,0,3
16011,27,0,.77426779,3.583519,45.203999,12.207,2.8670001,22.108,47.292,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.73002392,2.4009604,0,3
